name,type,citta,nazione,sito_web,num_executives,num_fondi,totale_aum_eur,aum_raw,num_portfolio,check_min_eur,check_max_eur,preferenze_geo,focus_investimento,preferenze_settore,remarks
Alternative Capital Partners SGR,"Infrastrutture, Private Debt",Milano,Italia,http://www.alternativecapital.partners,4,2,,128.355.000,11,,,Italy,"Infrastructure, Private Debt",Energy and environment,"Alternative Capital Partners SGR (“ACP SGR”) is an Italian asset management company, authorized and supervised by the Bank of Italy and Consob, created with the aim of managing Alternative Investment Funds. ACP SGR was established with the mission of combining ESG sustainability principles (Environmental, Social and Governance) and alternative investments with a high impact on the environment and on the real economy. ACP SGR intends to take an active role in creating a sustainable future, specializing in innovative alternative investments in Private Assets, such as infrastructure supporting the energy transition and Private Debt supporting micro and small-medium enterprises."
Alto Partners SGR,Private Equity,Milano,Italia,http://www.altopartners.it,10,2,500000000,500 Mln Euro,7,20000000,40000000,Northern Italy,Buy Out,,"Alto Partners SGR is the management company of  Private Equity Funds investing in the Italian mid-market. The Team combines in excess of 200 years of specific Private Equity experience. Alto Partners SGR mostly operates in the northern regions and predominantly targets Buy Out and Expansion transactions, pursuing an investment strategy oriented to growing and cash-generative companies, characterized by solid operating profitability, strength and recognition of brand, capillarity of distribution channels and a sustainable competitive advantage. The Team aims to provide portfolio companies and managers with strategic and financial support over a medium to long term time horizon. Sustainable investment approach."
Amber Capital Italia SGR,Private Equity,Milano,Italia,http://www.ambercapital.com,2,4,,,2,,,,All Stages,,
Ambienta SGR,Private Equity,Milano,Italia,http://www.ambientasgr.com,12,5,3000000000,>3bn EUR (in Private Equity only),17,30000000,300000000,Europe,Buy Out,Sustainability,"Ambienta is a European investment manager pioneering sustainable investing in environmental champions across private equity, public markets, and private credit. With offices in Milan, London, Paris, Munich and Stockholm, Ambienta manages over €4bn in assets and is backed by a global and growing investor base. The firm invests in companies driven by environmental megatrends and whose products or services improve Resource Efficiency or Pollution Control. Its science-driven approach identifies environmental champions of the real economy – businesses that deliver strong financial returns while generating measurable positive environmental impact. An industry pioneer, Ambienta was one of the first UN PRI signatories in 2012 and attained B-Corp status in 2019. In 2020, Ambienta became IIGCC member and in 2023 committed to the Science-Based Targets initiative (SBTi). www.ambientasgr.com"
Amundi,"Private Debt, Private Equity",Milano,Italia,https://www.amundi.it/investitori_privati,9,4,300,EURO 300M,30,3000000,15000000,Italy,"Buy Out, Expansion, Private Debt","Agriculture, Food and Beverages, Other manufacturing","Amundi is the leading European asset manager, ranking among the top 10 global players. The Real & Alternative Assets platform is a leading player in private markets’ asset management, offering an exclusive range of investment solutions in real estate, private debt, private equity, infrastructure, multi-management, and alternative assets. Amundi manages ca. €71 billion in real and alternative assets, with a dedicated team of 330 professionals based in various investment hubs in Paris, London, Milan, Luxembourg, Barcelona, Madrid and Dublin. This local footprint enables to provide a high-quality service to investors throughout Europe."
Andera Partners,Private Equity,Milano,Italia,http://www.anderapartners.com,135,6,5200000000,5.2 Bln Euro,100,30000000,120000000,Europe,"Buy Out, Expansion, Replacement","Agriculture, Biotech, Chemicals and materials, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Other manufacturing",
Anima Alternative SGR,Private Debt,Milano,Italia,http://www.animaalternative.it,9,3,453000000,453 Mln Euro,30,2000000,20000000,Italy,"Buy Out, Expansion, Private Debt, Replacement",,"Anima Alternative, founded in 2020, is an asset management company, wholly owned by Anima Holding S.p.A., part of Banco BPM Group, and focused on investments in private markets. Since inception, the company launched and raised three closed-end, Italian based, direct lending funds, addressed to professional investors, of which two classified as art. 8 SFDR. Anima Alternative invests in instruments across the entire capital structure, covering senior and junior debt, preferred equity, and minority equity."
Anthilia SGR,Private Debt,Milano,Italia,http://www.anthilia.it,9,10,2700000000,2.7 Bln Euro (1.0 Bln Euro Private Debt),95,1000000,,Italy,"Expansion, Private Debt",,"Anthilia SGR is an independent private company dedicated to asset management on behalf of private clients and institutions. Built on the participation of high-profile professionals and various banking institutions. Focused on simplicity: quality, capital protection and absolute return. Active in the management of investment fund, absolute return mandates and a platform dedicated to investments in the real economy."
Apax Partners,Private Equity,London,Inghilterra,http://www.apax.com,180,,80000000000,>80 Bln USD,80,40000000,600000000,"Asia, Europe, USA","Buy Out, Expansion, Impact Investing, Private Debt","Financial and insurance activities, ICT, Industrial products and services","Apax Partners LLP (“Apax”) is a leading global private equity advisory firm. For more than 50 years, Apax has worked to inspire growth and ideas that transform businesses. The firm has raised and advised funds with aggregate commitments of more than 77 billion USD. Throughout its history, the company has successfully invested across all investment stages and through several complete economic cycles. The Apax Funds invest in companies across four global sectors: Tech, Services, Healthcare, and Internet/Consumer. These Funds provide long-term equity financing to build and strengthen world-class companies. Today, the Apax Funds’ portfolio counts 80+ companies that employ over 100,000 people. The firm currently has a global network of 7 offices in three continents and employs over 390 people. Data as of June 2024."
Apeiron Management,Private Debt,Milano,Italia,http://www.apeironmgmt.com,2,5,550000000,550 Mln Euro,9,30000000,150000000,Italy,"Expansion, Private Debt, Replacement",,"Apeiron Management is a specialized advisor targeting mid-market opportunities in Italy. Our team’sexperience ranges from private equity to credit to special situations to insolvency compositions. We deploycapital over a broad range of business sectors, working alongside stakeholders to implement value investingstrategies in a variety of scenarios. Typically, we target transactions that range from 5 Mln Euro to 50 MlnEuro but have scope to consider larger opportunities. We participate across the capital structure, from debt toequity. We believe our key advantages lie in a deep local knowledge, a flexible approach and an appreciationfor complexity. In 2018, Apeiron Management forged a strategic partnership with Apollo Global Management,LLC to pursue credit investment opportunities in Italy. In 2020, the partnership was further upsized."
Apheon,,Milano,Italia,https://www.apheon.com/,30,6,4500000000,~€4.5bn,22,,,Europe,Buy Out,,"Apheon is a pan-European mid-market private equity investment firm managing ~€4.5 billion in assets from global institutional investors and families. Apheon partners with leading companies that have a sustainable competitive position in attractive niche sectors and are headquartered in Italy, the Benelux, Spain, France, and Germany. During its investment period, Apheon places a strong emphasis on advancing the companies' environmental, social, and governance (ESG) journey.Since its founding in 2005, Apheon has raised over €5.2 billion in capital, invested in 38 companies across Europe, and completed ~200 add-on acquisitions. Its current portfolio consists of 19 companies across its target sectors, representing ~€3.5 billion in sales and ~20,000 employees.Apheon has offices in Milan, Brussels, Madrid, Paris, Munich, and Amsterdam."
Apollo Global Management,,Stati,Uniti,http://www.apollo.com,,,938000000000,$938 miliardi,,,,,,,
Arca Space Capital,Private Equity,Milano,Italia,http://www.arcafondi.it,6,1,205,205,4,500000,,"Europe, Italy","Buy Out, Expansion","Consumer, Energy and environment, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Sustainability","Arca Fondi SGR has launched a private equity initiative, with the support of Space Capital Advisors (the ""Advisory Company“): Arca Space Capital. The Fund has been established as a reserved closed-end alternative private equity fund managed by the Management Company with the support of the Advisory Company. Space acts as the Advisory Company to Arca in the management of the Fund, supporting, among other things, the Management Company in selecting investment opportunities and managing portfolio companies. The Fund targets both Italian and international institutional and professional investors and is SFDR art 8 compliant. First closing completed in August 2023, with capital commitments equal to €130m, final closing completed in July 2025 bringing commitments to around €205mln. The Fund's objective is to build a diversified portfolio of high growth potential italian SMEs in a variety of attractive sectors, leveraging on the experience of the management team as well as the support of industry experts. Investment focus consists in three macro trends where the invesment team has a long and established track record: energy transition, aging population and circularity. The investment focus are companies with turnover up to €300mln with a ticket in the range €20-€60mln. As of January 2026, the Fund has completed four investment transactions."
ARDIAN Italy,"Infrastrutture, Private Equity",Milano,Italia,http://www.ardian.com,35,5,,,20,10000000,500000000,Europe,"Buy Out, Expansion, Infrastructure, Real Estate","Chemicals and materials, Construction, Energy and environment, Financial and insurance activities, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Other, Other manufacturing, Retail, Transportation","Ardian is a world-leading private investment house with assets of US 200 Bln USD managed or advised in Europe, the Americas, Asia-Pacific and Middle East. The company is majority-owned by its employees. It keeps entrepreneurship at its heart and focuses on delivering excellent investment performance to its global investor base. Holding close its core values of excellence, loyalty and entrepreneurship, Ardian maintains a truly global network, with 1,100 employees working from twenty-two offices across Europe (Frankfurt, Jersey, London, Luxembourg, Madrid, Milan, Paris, Zurich, Stockholm, Amsterdam and Copenhagen), the Americas (New York, San Francisco, Santiago and Montreal), Asia-Pacific (Beijing, Singapore, Tokyo, Seoul, Hong Kong and Sydney) and Middle East (Abu Dhabi). It manages funds on behalf of 1,890 clients through five pillars of investment expertise: Fund of Funds, Direct Funds, Infrastructure, Real Estate and Private Debt."
Ares Management,,Stati,Uniti,www.aresmgmt.com,,,623000000000,$623 miliardi,,,,,,,
Argos Fund,Private Equity,Milano,Italia,http://www.argos.wityu.fund,45,9,2000000000,2.0 Bln Euro,24,15000000,100000000,"Europe, Italy","Buy Out, Impact Investing",,"Argos is an independent European private equity group that supports the growth of mid-sized companies and assists their management teams.With over €2.3 billion in assets under management, 35 years of experience, and more than 100 companies supported, Argos operates in 4 regions (Benelux, DACH, France and Italy) through 6 offices in Amsterdam, Brussels, Frankfurt, Luxembourg, Milan and Paris.The group aims to acquire majority stakes and invests between €15 million and €100 million in each investment across its two strategies:• The Argos Mid-Market fund unlocks the potential of companies and helps them make the leap to the next level.• The Argos Climate Action Fund (SFDR Art. 9) aims to create European sustainable leaders by driving their transition “from grey to green.”"
Armònia SGR,Private Equity,Roma,Italia,,,,,,,,,,,,
Aurora Growth Capital,Private Equity,Luxembourg,Lussemburgo,http://www.auroragrowthcapital.it,10,3,500000000,500 Mln Euro,12,20000000,60000000,Italy,"Buy Out, Expansion","Energy and environment, Fashion, Food and Beverages, Healthcare, ICT, Industrial products and services, Retail, Sustainability","Aurora Growth Capital S.A. SICAV-RAIF (“Aurora”) is a leading private equity fund focused on growth/expansion capital investments (both majorities and qualified minorities), providing financial resources and management support to unlock companies’ potential.Aurora invests in high-growth potential and family-owned Italian SMEs with €30-300 million in revenues, leaders in their niche market, export driven and with a clear competitive advantage.Aurora takes a hands-on and industrial approach, also focusing on ESG best practices (beginning in December 2024, Aurora started the transition to be qualified as an Article 8 under the SFDR), working in partnership with entrepreneurs and managers to create value over the medium to long-term, delivering consistent returns.Aurora has been structured to provide an investment opportunity for investors who are PIR compliant under the Italian law."
Avanzi Etica Sicaf EuVECA,Venture Capital,Milano,Italia,http://www.aimpact.org,5,1,19590000,19.59 Mln Euro,15,250000,,Europe,"Early Stage, Impact Investing",,Social impact investing in companies with a focus on social business.
AVM SGR SpA Gestore EuVECA Società Benefit,"Private Equity, Venture Capital",Milano,Italia,http://www.avmgestioni.com,6,6,200000000,200 Mln Euro,34,500000,,Italy,"Buy Out, Early Stage, Expansion","Agriculture, Fashion, Food and Beverages, Healthcare, ICT, Industrial products and services, Other, Transportation",AVM SGR SpA Gestore EuVECA Società Benefit operates as a manager of alternative collective investment funds(OICR) for private equity and venture capital purposes. AVM SpA is specialized on SMEs and focuseson industrial aggregations.AVM’s main objectives are:– adapting the innovative solutions enabled by new regulations
Axon Partners Group,"Private Debt, Private Equity, Venture Capital",Milano,Italia,https://www.axonpartnersgroup.com/,21,9,900000000,900mln,,250000,20000000,Europe,"Early Stage, Expansion, Impact Investing",ICT,
Azimut Libera Impresa SGR,"Infrastrutture, Private Debt, Private Equity, Venture Capital",Milano,Italia,http://www.azimutliberaimpresa.it,33,30,,,146,,,Italy,"Buy Out, Early Stage, Expansion, Infrastructure, Private Debt, Replacement",,Managed Funds:ANTARES AZ I (Direct+Advisory
Azzurra Capital,Private Equity,Milano,Italia,www.azzurracapital.com,5,1,629300000,629300000,7,,,"Europe, Italy",,,"Azzurra Capital is an international private equity firm committed to being the preferred capital partner for leading entrepreneurs with the objective of creating sustainable growth and superior value. We provide capital to privately owned companies to support additional growth, facilitate generational transition, or to enable owners to diversify their wealth."
B4 Investimenti SGR,Private Equity,Roma,Italia,http://www.b4investimenti.it,7,3,150000000,circa 150 Mln Euro,5,2000000,10000000,Italy,"Buy Out, Expansion","Agriculture, Food and Beverages, Furniture, Industrial products and services, Mechanics, Other manufacturing","B4 Investimenti SGR is an asset management company focused on investing, through the Alternative Investment Funds that it directly manages, in small (and medium) Italian companies with high growth potential. The investment strategy aims to support entrepreneurs and management teams in implementing challenging development plans, ideally based on internationalisation and M&A integration. B4 Investimenti is keen to boost its partners’ growth providing strategic and managerial skills, financial backing and the access to its exclusive investors’ network."
Bain Capital,Private Equity,London,Inghilterra,http://www.baincapital.com,1980,22,192000000000,192 Bln (PE €58B),103,,,Worldwide,Buy Out,"Consumer, Financial and insurance activities, Healthcare, ICT, Industrial products and services, Other, Other manufacturing",
Banca Generali,Private Debt,Trieste,Italia,http://www.bancagenerali.com,,,,,,,,,,,"Banca Generali is a leading private bank in Italy that offers its customers financial planning and wealth protection services, leveraging its very solid network of Financial Advisors and Private Bankers that stand out for their experience and professionalism. The Company’s strategy is based on four key elements: qualified advice from professionals specialised in households' wealth protection and investment planning support"
Banca Sella Holding,Venture Capital,Biella,Italia,,,,,,,,,,,,
Banco BPM Invest SGR,,Milano,Italia,,,,,,,,,,,,
BC Partners,Private Equity,London,Inghilterra,http://www.bcpartners.com,60,12,40000000000,> 40 Bln Euro,33,250000000,1000000000,Europe,Buy Out,"Food and Beverages, Healthcare, ICT, Industrial products and services","BC Partners is a leading alternative investment manager focused on private equity and credit, with deep networks across Europe and North America. BC Partners focuses on control buyouts of businesses with Enterprise Values typically greater than €500 million, seeking to acquire market-leading companies in defensive but growing markets, often in partnership with founders and families."
BlackRock,"Infrastrutture, Private Debt, Private Equity",Milano,Italia,http://www.blackrock.com,,,,,,,,"Asia, Europe, France, Italy, Spain, United Kingdom, USA, Worldwide","All Stages, Buy Out, Impact Investing, Infrastructure, Private Debt","Chemicals and materials, Energy and environment, Food and Beverages, Healthcare, ICT, Industrial products and services","BlackRock’s purpose is to help more and more people experience financial well-being. As a fiduciary to investors and a leading provider of financial technology, we help millions of people build savings that serve them throughout their lives by making investing easier and more affordable. As of the end of 2025, BlackRock manages $676 billion in alternative assets across private credit, infrastructure, private equity, real estate, multi-alternatives, liquid alternatives and credit. For additional information on BlackRock, please visit www.blackrock.com/corporate"
BlueGem Capital Partners,Private Equity,London,Inghilterra,http://www.bluegemcp.com,10,3,900000000,900 Mln Euro,12,30000000,75000000,Europe,Buy Out,,
BNP Paribas Asset Management Europe,,Parigi,Francia,http://www.bnpparibas-am.com,3,5,2000000000,2 Bln Euro,,5000000,100000000,"Europe, Italy",Private Debt,,"Strong small/midcaps universe knowledge by the BNPPAM Private Debt Team with international roots since 2016 leveraging on tailor-made solutions through a wide offering - senior, unitranche, mezzanine and PIK Notes - completed by a fast and streamlined decision-making process."
BNP Paribas BNL Equity Investments,,Milano,Italia,,7,,,,24,1000000,15000000,Italy,"Buy Out, Expansion, Impact Investing, Replacement",,"BNP Paribas BNL Equity Investments (""BBEI"") invests in minority equity stakes in high-potential Italian small and mid-cap companies, with established growth and profitability profiles, typically with revenues between €10 million and €200 million.BBEI partners with entrepreneurs and management teams as a long-term, non-intrusive investor, supporting organic growth, strategic projects and value creation while respecting the independence of the companies invested in. The investment approach focuses on capital appreciation rather than income generation and relies on a governance model based on constructive dialogue and mutual trust.The typical holding period ranges from 3 to 10 years (6-7 years on average), with no predefined exit timeline, allowing BBEI to adapt to the strategic horizon of shareholder families and co-investors."
Bridgepoint,"Infrastrutture, Private Debt, Private Equity",Milano,Italia,http://www.bridgepoint.eu,1,16,86000000000,86 Bln USD,,200000000,1000000000,"Europe, USA","Buy Out, Early Stage, Expansion, Infrastructure, Private Debt",,"Bridgepoint Group, including ECP, is a global leading European mid-market Private Equity firm, with over 86 Bln USD of committed fund raised from a global investor base, that include public and private pension funds, asset managers, family offices, insurance companies. Bridgepoint focuses on the acquisition of well managed companies in attractive sectors, valued up to 1.5 Bln Euro and with attractive growth potential. The team, made of about 250 professionals, is active through a network of local offices in Europe, New York, and Shanghai. This allows to support growth of portfolio companies internationally."
BU Italy,Private Equity,Milano,Italia,http://www.bu-partners.it,50,4,7000000000,> € 7bn,44,75000000,500000000,"Europe, Italy","Buy Out, Expansion, Replacement","Financial and insurance activities, Healthcare, ICT, Industrial products and services","BU Bregal Unternehmerkapital (“BU”) is a leading investment firm with offices Zug, Munich, Amsterdam, Milan, and London. With more than €7 billion in assets under management, BU is the largest mid-cap investor headquartered in the DACH region. The funds advised by BU focus on investments in mid-sized companies across the DACH region and neighboring economies. With the mission to be the partner of choice for entrepreneurs and family-owned businesses, BU seeks to partner with market leaders and “hidden champions” with strong management teams and breakout potential. Since its founding in 2015, the funds advised by BU have invested in more than 160 companies, thereby creating over 11,000 jobs for a total of nearly 32,000 employees. As a strategic partner, BU helps entrepreneurs and families develop, internationalize, and digitize their businesses, while generating sustainable value on a responsible basis with the next generation in mind."
Canova SGR,"Private Equity, Venture Capital",Villorba,Italia,http://www.canovasgr.it,3,1,,- Mln Euro,,100000,50000000,Italy,"Early Stage, Expansion",Other,
Capital Dynamics SGR,"Infrastrutture, Private Equity",Milano,Italia,http://www.capdyn.com,,,14000000000,14+ Bln USD,,,,,,,"Capital Dynamics SGR is part of Capital Dynamics Group, an independent global asset management firm focusing on private assets including private equity (primaries, secondaries, direct investments) and clean energy. Capital Dynamics offers a diversified range of tailored offerings and customized solutions for a broad, global client base, including corporations, family offices, foundations and endowments, high net worth individuals, pension funds and others. The firm oversees more than 15+ Bln USD in assets under management and advisement (1). Capital Dynamics is distinguished by its deep and sustained partnerships with clients, a culture that attracts entrepreneurial thought leaders and a commitment to providing innovative ideas and solutions for its clients. Capital Dynamics’ roots go back to 1988, the year our predecessor (Westport Private Equity) was founded in UK. Our headquarters were established in Zug, Switzerland in 1999. The firm employs approximately 150 professionals globally and maintains 13 offices globally.For more information, please visit: www.capdyn.com.1 As of December 31, 2025"
CAPZA,"Private Debt, Private Equity",Milano,Italia,http://www.capza.co,5,6,11000000000,11 Bln Euro,2,20000000,150000000,"Europe, Italy","Buy Out, Expansion, Private Debt, Replacement","Aerospace, Biotech, Energy and environment, Financial and insurance activities, Healthcare, ICT, Medtech, Other, Sustainability","Created in 2004 and supported by the AXA group, CAPZA operates a platform of 6 complementary areas of expertise (Flex Equity, Private Debt, Transition, Artemid Senior Loans, Growth Tech and Expansion) with offices in Paris, Munich, Amsterdam, Madrid and Milan and over 120 professionals.We offer financing solutions to small & mid cap companies at every stage of their development. Its unique platform allows CAPZA to support companies over the long run by providing them with flexible financing solutions (majority capital, minority capital, subordinated debt, senior debt, etc.). CAPZA is a generalist investor but has built up strong expertise in supporting companies in health, technology, education and BtoB services."
Carlyle,Private Equity,Milano,Italia,http://www.carlyle.com,8,4,477,$477 billion ($156.7 billion in Global Private Equity),277,200000000,500000000,Worldwide,Buy Out,,"Established in Washington, D.C. in 1987, Carlyle is a global investment firm with deep industry expertise that deploys private capital across three business segments: Global Private Equity, Global Credit, and Carlyle AlpInvest. With $477 billion of assets under management, Carlyle’s purpose is to invest wisely and create value on behalf of our investors, portfolio companies and the communities in which we live and invest. Carlyle employs more than 2,500 people in 27 offices across four continents."
CDP Equity,"Infrastrutture, Private Debt, Private Equity, Venture Capital",Milano,Italia,https://www.cdp.it/sitointernet/it/cdp_equity.page,16,19,9700000000,"9,7 Bln",18,,,Italy,All Stages,,-	Invested capital in direct investments: 9.7 Bln Euro*
Cdp Real Asset SGR,Infrastrutture,Roma,Italia,https://www.cdp.it/sitointernet/it/cdp_realasset.page,14,10,4000000000,4 Bln Euro,,,,Italy,"Infrastructure, Real Estate",,"CDP Real Asset SGR S.p.A. is the real estate and infrastructure asset manager of the CDP Group. Established in 2009 by Cassa Depositi e Prestiti (CDP) in partnership with ACRI (the Association of Italian Banking Foundations) and ABI (the Italian Banking Association), the company has been majority owned by CDP since inception (70%), with ACRI and ABI each holding a 15% stake.Acting as the Group’s dedicated asset management platform, CDP Real Asset focuses on real estate and infrastructure investments with a strong emphasis on public interest and territorial impact. The company operates through four main business lines: (i) affordable housing, (ii) redevelopment of former public buildings, (iii) tourism, and (iv) infrastructure.CDP Real Asset manages a diversified platform combining direct investments and funds of funds, actively mobilising capital from Italian and European institutional investors to support projects delivering measurable social, economic and environmental impact at local level. As of today, the company manages 10 funds, 76 directly owned properties and 43 portfolio funds (36 in the affordable housing segment and 7 in infrastructure), with total assets under management of around €4 billion.Consistent with the CDP Group’s principles of additionality and complementarity, CDP Real Asset offers investors diversified investment solutions across different risk-return and impact profiles. Strongly committed to sustainability, the company applies high ESG standards and, since July 2024, is a signatory of the UN Principles for Responsible Investment (PRI), in line with CDP Group best practices and its mission to promote inclusive and sustainable growth in Italy."
Cdp Venture Capital SGR,Venture Capital,Roma,Italia,http://www.cdpventurecapital.it,9,15,4900000000,4.9 Bln Euro,340,,,Italy,"Early Stage, Expansion",,"CDP Venture Capital is an asset management company (SGR) owned 70% by CDP Equity and 30% by Invitalia. It was established with the goal of building the Italy of tomorrow by supporting innovation and bringing entrepreneurship back to the center of economic development in the sectors most strategic to Italy’s growth.CDP Venture Capital invests in a new generation of entrepreneurs through 15 operating funds, with more than €4.9 billion in total resources supporting innovative companies at all stages of their life cycle, through both direct and indirect investments (fund of funds). For further information: www.cdpventurecapital.it"
Charme Capital Partners SGR,Private Equity,Milano,Italia,http://www.charmecapitalpartners.com,18,5,1000000000,1 Bln Euro,9,30000000,100000000,"Italy, Spain, United Kingdom","Buy Out, Expansion",,
Cinven,Private Equity,Milano,Italia,http://www.cinven.com,130,8,45000000000,€45bn,46,200000000,,"Europe, USA",Buy Out,,"Cinven is an international private equity firm, founded in 1977, with offices located in London, Frankfurt, Paris, Madrid, Milan, New York, Guernsey and Luxembourg, and currently employs c. 130 investment professionals. The group focuses on investments across six core sectors: Business Services"
Claris Ventures Sgr,Venture Capital,Torino,Italia,http://www.clarisventures.com,3,2,,€170.000.000,11,1000000,5000000,Italy,Early Stage,Biotech,"Claris Ventures is a venture capital operator based in Italy specialized in early stage investments in companies active in the development of new drugs with high potential, born from the Italian research network – both local and international. The objective of Claris Ventures is to identify and support innovations in the pharmaceutical field, investing in new companies that develop potential drugs that can revolutionize the current treatment scenario in indications with limited therapeutic alternatives. The investment strategy is focused on biotech projects ready to start clinical studies in which Claris Ventures will provide the resources to fund the eventual completion of preclinical studies and a first human study."
Clessidra Capital Credit SGR,Private Debt,Milano,Italia,http://www.clessidracapitalcredit.it,9,5,725000000,725 Mln Euro,20,7000000,30000000,Italy,"Non Performing Assets, Private Debt, Turnaround",,"Clessidra Capital Credit SGR is part of the Clessidra Group, one of Italy’s leading alternative investment managers, providing small and medium-sized enterprises with financial resources, specialised expertise and extensive experience in ESG integration, while addressing the strong demand for diversified products and services from major domestic and international institutional investors. Clessidra Capital Credit SGR is a management company focused on corporate credit and turnaround. Recognized as a trusted partner to performing and distressed Italian small/mid-sized companies, Clessidra operates across the entire capital structure leveraging on its experienced investment professionals and unrivalled knowledge of the Italian market. Through the Clessidra’s credit funds range the Firm supports the financing needs of Italian mid-sized companies and their shareholders by offering a broad range of solutions, spanning from financing instruments (senior, junior, subordinated/mezzanine financing and bond subscriptions) to the acquisition of minority equity stakes."
