name,type,focus_investimento,check_min_eur,check_max_eur,preferenze_settore,preferenze_geo,totale_aum_eur,sito_web
Bain Capital,Private Equity,Buy Out,,,"Consumer, Financial and insurance activities, Healthcare, ICT, Industrial products and services, Other, Other manufacturing",Worldwide,192000000000,http://www.baincapital.com
Banca Generali,Private Debt,,,,,,,http://www.bancagenerali.com
Banca Sella Holding,Venture Capital,,,,,,,
Banco BPM Invest SGR,,,,,,,,
BC Partners,Private Equity,Buy Out,250000000,1000000000,"Food and Beverages, Healthcare, ICT, Industrial products and services",Europe,40000000000,http://www.bcpartners.com
BlackRock,"Infrastrutture, Private Debt, Private Equity","All Stages, Buy Out, Impact Investing, Infrastructure, Private Debt",,,"Chemicals and materials, Energy and environment, Food and Beverages, Healthcare, ICT, Industrial products and services","Asia, Europe, France, Italy, Spain, United Kingdom, USA, Worldwide",,http://www.blackrock.com
BlueGem Capital Partners,Private Equity,Buy Out,30000000,75000000,,Europe,900000000,http://www.bluegemcp.com
BNP Paribas Asset Management Europe,,Private Debt,5000000,100000000,,"Europe, Italy",2000000000,http://www.bnpparibas-am.com
BNP Paribas BNL Equity Investments,,"Buy Out, Expansion, Impact Investing, Replacement",1000000,15000000,,Italy,,
Bridgepoint,"Infrastrutture, Private Debt, Private Equity","Buy Out, Early Stage, Expansion, Infrastructure, Private Debt",200000000,1000000000,,"Europe, USA",86000000000,http://www.bridgepoint.eu
BU Italy,Private Equity,"Buy Out, Expansion, Replacement",75000000,500000000,"Financial and insurance activities, Healthcare, ICT, Industrial products and services","Europe, Italy",7000000000,http://www.bu-partners.it
Canova SGR,"Private Equity, Venture Capital","Early Stage, Expansion",100000,50000000,Other,Italy,,http://www.canovasgr.it
Capital Dynamics SGR,"Infrastrutture, Private Equity",,,,,,14000000000,http://www.capdyn.com
CAPZA,"Private Debt, Private Equity","Buy Out, Expansion, Private Debt, Replacement",20000000,150000000,"Aerospace, Biotech, Energy and environment, Financial and insurance activities, Healthcare, ICT, Medtech, Other, Sustainability","Europe, Italy",11000000000,http://www.capza.co
Carlyle,Private Equity,Buy Out,200000000,500000000,,Worldwide,477,http://www.carlyle.com
CDP Equity,"Infrastrutture, Private Debt, Private Equity, Venture Capital",All Stages,,,,Italy,9700000000,https://www.cdp.it/sitointernet/it/cdp_equity.page
Cdp Real Asset SGR,Infrastrutture,"Infrastructure, Real Estate",,,,Italy,4000000000,https://www.cdp.it/sitointernet/it/cdp_realasset.page
Cdp Venture Capital SGR,Venture Capital,"Early Stage, Expansion",,,,Italy,4900000000,http://www.cdpventurecapital.it
Charme Capital Partners SGR,Private Equity,"Buy Out, Expansion",30000000,100000000,,"Italy, Spain, United Kingdom",1000000000,http://www.charmecapitalpartners.com
Cinven,Private Equity,Buy Out,200000000,,,"Europe, USA",45000000000,http://www.cinven.com
Claris Ventures Sgr,Venture Capital,Early Stage,1000000,5000000,Biotech,Italy,,http://www.clarisventures.com
Clessidra Capital Credit SGR,Private Debt,"Non Performing Assets, Private Debt, Turnaround",7000000,30000000,,Italy,725000000,http://www.clessidracapitalcredit.it
Clessidra Private Equity SGR,Private Equity,"Buy Out, Expansion, Replacement",15000000,100000000,"Agriculture, Financial and insurance activities, Healthcare, Industrial products and services, Retail",Italy,3000000000,http://www.clessidraprivateequity.it
Como Venture,Venture Capital,Early Stage,100000,500000,"Chemicals and materials, Industrial products and services, Other",Italy,1500000,http://www.comoventure.it
Consilium SGR,Private Equity,"Buy Out, Expansion",10000000,20000000,"Food and Beverages, ICT, Mechanics, Other manufacturing, Sustainability",Italy,250000000,http://www.consiliumsgr.com
Cooperare,Private Equity,All Stages,3000000,20000000,"Energy and environment, Financial and insurance activities, Food and Beverages, Retail",Italy,363000000,http://www.cooperarespa.it
CVC Advisers (Italia),Private Equity,Buy Out,250000000,1500000000,,"Europe, USA, Worldwide",200000000000,http://www.cvc.com
DBAG Italia,,Buy Out,50000000,200000000,Industrial products and services,Italy,2,http://www.dbagitalia.com
DECALIA,,Private Debt,,,,Europe,6000000000,https://www.decalia.com/it-it/
Deep Ocean Capital SGR,Venture Capital,Early Stage,,,"Aerospace, Healthcare, ICT, Medtech, Sustainability",Italy,,https://www.deepoceancapital.it/
Doorway,Venture Capital,Early Stage,5000,,"Aerospace, Agriculture, Biotech, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Medtech, Sustainability","Europe, Italy",,https://www.doorway.investments
Eiffel Investment Group,"Infrastrutture, Private Debt, Private Equity, Venture Capital","Buy Out, Early Stage, Expansion, Impact Investing, Infrastructure, Private Debt",500000,500000000,"Agriculture, Energy and environment, Food and Beverages, Healthcare, Industrial products and services, Other, Other manufacturing, Sustainability","Europe, Italy",8,https://www.eiffel-ig.com/
Entangled Capital SGR,Private Equity,"Buy Out, Expansion",5000000,15000000,"Agriculture, Chemicals and materials, Food and Beverages, Healthcare, Industrial products and services, Mechanics, Other manufacturing",Italy,102000000,http://www.entangledcapital.com
Entrepreniston,"Private Equity, Venture Capital",Early Stage,50000,1000000,"Chemicals and materials, Energy and environment, Healthcare, Industrial products and services, Mechanics, Medtech, Other manufacturing",Europe,,https://www.entrepreniston.com
EnTrust Global Italia,"Infrastrutture, Private Debt, Private Equity","Impact Investing, Infrastructure, Private Debt",5000000,,"Energy and environment, Media, Other, Sport, Transportation",Worldwide,16600000000,http://www.entrustglobal.com
EOS Investment Management Group,"Infrastrutture, Private Equity","All Stages, Buy Out, Infrastructure",7500000,45000000,"Agriculture, Energy and environment, Industrial products and services, Other manufacturing, Sustainability","Europe, Italy",430000000,https://eosimgroup.com/
EQT,Private Equity,All Stages,100000000,3000000000,"Agriculture, Biotech, Financial and insurance activities, Healthcare, ICT, Industrial products and services","Asia, Europe, USA",270000000000,http://www.eqtgroup.com
Equinox AIFM,Private Equity,"Buy Out, Expansion",20000000,50000000,"Healthcare, ICT, Industrial products and services",Italy,570000000,http://www.equinox-investments.com
Equita Capital SGR,"Infrastrutture, Private Debt, Private Equity","Buy Out, Expansion, Infrastructure, Private Debt",7000000,30000000,,Europe,750000000,https://sgr.equita.eu
Equiter - Investimenti per il Territorio,"Infrastrutture, Private Equity","Buy Out, Early Stage, Expansion, Impact Investing, Infrastructure, Real Estate",500000,50000000,"Aerospace, Chemicals and materials, Construction, Energy and environment, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other manufacturing, Sustainability, Transportation",Italy,2000000000,http://www.equiterspa.com
Equiter SGR,Infrastrutture,Infrastructure,,,"Energy and environment, Healthcare, Medtech, Sustainability, Transportation",Italy,300000000,https://www.equitersgr.it/
Eurazeo,"Infrastrutture, Private Debt, Private Equity, Venture Capital","All Stages, Buy Out, Early Stage, Expansion, Impact Investing, Infrastructure, Private Debt, Real Estate",500000,1500000000,"Biotech, Consumer, Energy and environment, Financial and insurance activities, Healthcare, ICT, Medtech",Europe,35500000000,http://www.eurazeo.com
EUREKA! Venture Sgr,"Private Equity, Venture Capital",Early Stage,250000,7500000,"Chemicals and materials, Energy and environment, ICT, Industrial products and services, Other manufacturing",Europe,130000000,http://www.eurekaventure.it
Eurizon Capital Real Asset SGR,"Infrastrutture, Private Debt, Private Equity, Venture Capital",All Stages,,,,Worldwide,12000000000,https://www.eurizoncapital.com/it-IT/chi-siamo/eurizon-capital-real-asset-sgr
F&P Equity Partners,Private Equity,Buy Out,10000000,30000000,,Europe,,http://www.fp-equity-partners.com
F2i SGR,Infrastrutture,Buy Out,,1070000000,Energy and environment,Europe,7460000000,http://www.f2isgr.it
FARO Value,"Private Equity, Venture Capital","Buy Out, Early Stage, Expansion",1000000,60000000,"Aerospace, Fashion, Food and Beverages, Furniture, Mechanics, Other manufacturing","Europe, Italy, Worldwide",,www.farovalue.com
FIEE SGR,Infrastrutture,Early Stage,10000000,56000000,Energy and environment,Europe,672000000,http://www.fieesgr.com
Fineurop,Private Equity,,,,,,,http://www.fineurop.it
Finint Investments SGR,"Private Debt, Private Equity, Venture Capital",,,,,,,
Finlombarda S.p.A.,Private Debt,Expansion,,,,Lombardia,,http://www.finlombarda.it
Finsea,Venture Capital,All Stages,50000,1500000,"Agriculture, Biotech, Energy and environment, Food and Beverages, ICT, Industrial products and services, Other manufacturing",Italy,,http://www.gruppofinsea.it
Fondo Italiano d’Investimento SGR,"Private Debt, Private Equity","Buy Out, Expansion, Impact Investing, Private Debt",,,"Agriculture, Consumer, Fashion, Food and Beverages, Healthcare, ICT, Industrial products and services, Other",Italy,4300000000,http://www.fondoitaliano.it
Friulia,Private Equity,All Stages,250000,15000000,"Chemicals and materials, Construction, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Other, Other manufacturing, Retail, Transportation",Friuli-Venezia Giulia,202000000,http://www.friulia.it
FSI,Private Equity,Expansion,30000000,250000000,"Aerospace, Agriculture, Biotech, Food and Beverages, Healthcare, ICT, Medtech, Other, Retail, Sustainability",Italy,3500000000,http://www.fondofsi.it
Fürstenberg SGR,Private Debt,"Non Performing Assets, Private Debt, Turnaround",,,,Italy,720000000,www.furstenbergsgr.eu
FVG Plus,,,,,,,,https://fvgplus.it/
FVS SGR,Private Equity,"Buy Out, Expansion, Replacement",3000000,10000000,"Consumer, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Other, Other manufacturing, Retail, Transportation","Friuli-Venezia Giulia, Trentino Alto Adige, Veneto",120000000,http://www.fvssgr.it
Generali Investments,"Infrastrutture, Private Debt","Infrastructure, Private Debt, Real Estate",,,,"Asia, Europe, United Kingdom, USA, Worldwide",80400000000,http://www.generali-investments.com/
Gepafin,Private Debt,All Stages,100000,1500000,,Umbria,20000000,http://www.gepafin.it
Gradiente SGR,Private Equity,Buy Out,3000000,20000000,,Italy,315200000,http://www.gradientesgr.it
Green Arrow Capital SGR,"Infrastrutture, Private Debt, Private Equity","Buy Out, Infrastructure, Private Debt, Real Estate",500000,100000000,"Agriculture, Chemicals and materials, Construction, Energy and environment, Fashion, Food and Beverages, Healthcare, Industrial products and services, Mechanics, Retail, Sustainability","Europe, Italy",2200000000,https://www.greenarrow-capital.com/
H.I.G. European Capital Partners Italy,,Buy Out,15000000,250000000,,Europe,74000000000,http://www.higeurope.com
HAT SGR,Private Equity,"Buy Out, Expansion",10000000,30000000,"Healthcare, ICT, Medtech, Other",Italy,460000000,http://www.hat.it
HAT Sicaf,Private Equity,"Buy Out, Expansion",2500000,6500000,"ICT, Other",Italy,42000000,http://www.hatsicaf.it
HLD Conseils Italy,,,50000000,300000000,,Europe,4000000000,www.groupehld.com
Ibla Capital,Private Equity,"Buy Out, Turnaround",1000000,5000000,"Chemicals and materials, Food and Beverages, Industrial products and services, Machinery, Mechanics, Other manufacturing","Europe, Italy",30000000,http://www.iblacapital.com
IGI Private Equity,Private Equity,,,,,,,
Innovative-RFK,Private Equity,,,,,,,
Intesa Sanpaolo – Direzione Group Shareholdings,Private Equity,,,,,,,
Invitalia,Private Equity,,,,,,,
Itago SGR,Private Equity,Buy Out,7000000,20000000,"Energy and environment, Fashion, Food and Beverages, Healthcare, Industrial products and services, Mechanics, Other manufacturing",Italy,128000000,http://www.itagopartners.it
Kairos Partners SGR,Venture Capital,,,,,,,
Key Capital,Venture Capital,Early Stage,,,ICT,,,http://www.keycapital.it
Komplementa Investment Partners SGR,,,,,,,,
Kyip Capital Sgr,Private Equity,"Buy Out, Expansion, Impact Investing",2500000,25000000,"Consumer, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other","Europe, Italy",,https://kyipcapital.com/
L&B Capital SGR,,"Buy Out, Early Stage, Expansion, Non Performing Assets",100000,,"Aerospace, Biotech, Consumer, Energy and environment, Industrial products and services, Other manufacturing, Retail, Transportation","Italy, USA",137000000,http://www.lbcapitalsgr.it
Lazio Innova,Venture Capital,Early Stage,150000,500000,,Lazio,15000000,www.lazioinnova.it/innovaventure
LIFTT,Venture Capital,Early Stage,50000,10000000,"Aerospace, Biotech, Chemicals and materials, Energy and environment, Healthcare, Mechanics, Medtech, Sustainability",Worldwide,110,https://www.liftt.com/
LigurCapital,,Early Stage,50000,750000,,Liguria,,https://www.ligurcapital.it/
Lion River I NV,"Infrastrutture, Private Equity, Venture Capital",,,,,,,
Macquarie – MAM,"Infrastrutture, Private Debt, Private Equity",,,,,,,
Mediocredito Centrale,,,,,,,,
Merito SGR,,,,,,,,
Mindful Capital Partners,Private Equity,Buy Out,10000000,35000000,"Chemicals and materials, Consumer, Fashion, Food and Beverages, Healthcare, Industrial products and services, Medtech, Other manufacturing, Sustainability",Italy,362200000,http://www.mcpinvest.com
MITO Technology,Venture Capital,Early Stage,200000,4000000,"Energy and environment, Industrial products and services, Sustainability, Transportation","Europe, Italy",95000000,http://www.mitotech.eu
Mittel,Private Equity,"Buy Out, Expansion, Replacement",10000000,50000000,"Food and Beverages, Furniture, Healthcare, Industrial products and services, Other manufacturing, Retail",Italy,,http://www.mittel.it
Montefiore Investment,Private Equity,,,,,,,
Muzinich & Co.,Private Debt,,,,,,,
Narval Investimenti,Private Equity,Buy Out,10000000,30000000,,Italy,300000000,http://www.narvalinvestimenti.it
Neva SGR,Venture Capital,"Early Stage, Expansion",,15000000,"Aerospace, Agriculture, Biotech, Energy and environment, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Medtech, Other manufacturing","Europe, Italy, United Kingdom, USA",500000000,https://www.nevasgr.com/
Nextalia SGR,"Private Debt, Private Equity, Venture Capital","Buy Out, Early Stage, Expansion, Non Performing Assets, Private Debt, Turnaround",,,,Italy,2,http://www.nextalia.com
Oltre Impact SGR,Private Equity,,,,,,,
Origine SGR,"Private Equity, Venture Capital","Early Stage, Expansion",30000000,45000000,"Aerospace, Healthcare, ICT, Industrial products and services, Other","Europe, Italy",,https://www.originesgr.com/
Overseas Industries,Private Equity,All Stages,5000000,25000000,Other manufacturing,Europe,,
Oxy Capital Italia,Private Debt,"Private Debt, Turnaround",10000000,200000000,,Italy,250000000,http://www.oxycapital.com
PAI SAS - Italian Branch,Private Equity,Buy Out,250000000,1500000000,"Food and Beverages, Healthcare, Industrial products and services, Other manufacturing","Europe, USA",26400000000,http://www.paipartners.com
Palladio Holding,Private Equity,,,,,,,
Partners Group (EU) GmbH,Milan Branch,Worldwide,,,All Stages,,,
Permira Associati,Private Equity,Buy Out,,,"Agriculture, Consumer, Energy and environment, Fashion, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Retail, Sustainability","Asia, Europe, USA",,http://www.permira.com
Pillarstone,"Private Debt, Private Equity","Private Debt, Turnaround",,,,Italy,1100000000,http://www.pillarstone.com
PM&PARTNERS SGR,Private Equity,Buy Out,10000000,30000000,"Consumer, Food and Beverages, ICT, Industrial products and services, Other manufacturing",Italy,330000000,http://www.pm-partners.it
Polis SGR – Gruppo LBO France,Private Equity,Buy Out,7000000,25000000,,Italy,,
Portobello Capital,Private Equity,Buy Out,30000000,250000000,"Food and Beverages, Healthcare, Industrial products and services, Other manufacturing",Europe,3700000000,http://www.portobellocapital.es/en/
Prana Ventures,Venture Capital,Early Stage,250000,3500000,ICT,Europe,37600000,http://www.pranaventures.it
Private Equity Partners,Private Equity,"Buy Out, Expansion",,,,Italy,,http://www.privateequitypartners.com
Progressio SGR,Private Equity,Buy Out,15000000,50000000,,Italy,585000000,http://www.progressiosgr.it
Quadrivio Group,Private Equity,Buy Out,10000000,50000000,"Fashion, Food and Beverages, Furniture, Healthcare, Industrial products and services",Europe,1,http://www.quadriviogroup.com
Quant>ICO Investment Club Opportunities,Private Equity,"Buy Out, Expansion",40000000,100000000,,"Europe, Italy",,https://quanticoclub.com/
QuattroR,Private Equity,Expansion,20000000,105000000,,Italy,974000000,http://quattror.com
Radical Partners,Venture Capital,Early Stage,,,"Cleantech, Deep Tech, Healthcare","Europe, Italy, Worldwide",80000000,www.radicalpartners.eu
Rancilio Cube Sicaf,Venture Capital,Early Stage,1000000,5000000,,,64000000,http://www.ranciliocubesicaf.com
Real Estate Asset Management SGR - REAM SGR,Infrastrutture,Real Estate,100000,300000000,,Italy,1500000000,http://www.reamsgr.it
Renaissance Partners,Private Equity,Buy Out,50000000,300000000,"Healthcare, ICT, Industrial products and services, Sustainability",Italy,3500000000,https://www.renaissancealternatives.com
Riello Investimenti SGR,"Private Debt, Private Equity, Venture Capital","Buy Out, Expansion, Impact Investing, Private Debt, Replacement",1000000,20000000,"Fashion, Food and Beverages, Furniture, Industrial products and services, Mechanics, Other",Italy,450000000,http://www.rielloinvestimenti.it
Ring Capital,"Private Equity, Venture Capital","Buy Out, Early Stage, Expansion, Impact Investing",8000000,20000000,"Agriculture, Construction, Consumer, Energy and environment, Healthcare, ICT, Industrial products and services, Sustainability, Transportation","Europe, France, Italy, Spain",,https://www.ringcp.com/
Rivean Capital,Private Equity,Buy Out,50000000,300000000,"Financial and insurance activities, ICT, Industrial products and services",Europe,5000000000,https://riveancapital.com/
RiverRock European Capital Partners,,Private Debt,125000,,,Europe,,https://www.riverrock.eu/
Sagard,,Buy Out,50000000,150000000,"Agriculture, Biotech, Chemicals and materials, Construction, Consumer, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other, Other manufacturing, Retail, Sustainability, Transportation","France, Italy",,https://www.sagard.com/midcap/
Sagitta SGR,Private Debt,"Infrastructure, Non Performing Assets, Private Debt, Real Estate, Turnaround",,,Other,Italy,2521000,http://www.sagittasgr.it
Scientifica Venture Capital,Venture Capital,"Early Stage, Impact Investing",200000,5000000,"Aerospace, Biotech, Chemicals and materials, Energy and environment, Healthcare, ICT, Mechanics, Medtech, Other manufacturing, Sustainability","Europe, Italy, USA",200000000,https://scientifica.vc/
Sefea Impact SGR,Venture Capital,"Expansion, Impact Investing",300000,2000000,Sustainability,Italy,79100000,http://www.sefeaimpact.it
Sienna Private Equity,Private Equity,Buy Out,25000000,100000000,,"France, Italy",,https://www.sienna-pe.com/
Simest,Private Equity,Expansion,1000000,15000000,,,888500000,http://www.simest.it
Sinloc Investimenti SGR,Infrastrutture,"Impact Investing, Infrastructure, Real Estate",5000000,12000000,"Energy and environment, Other, Sustainability",Italy,100,http://www.sinlocinvestimentisgr.com
Siryo,Venture Capital,"Early Stage, Expansion",500000,10000000,"Biotech, Chemicals and materials, Energy and environment, Healthcare, Sustainability","Europe, Italy",50000000,http://www.siryo.it/it/
Smart Capital,Private Equity,,,,,,,
Sofinnova Partners,Venture Capital,Early Stage,100000,30000000,"Biotech, Healthcare, Medtech, Sustainability","Europe, USA",4000000000,https://sofinnovapartners.com/
Square Capital Club,Private Equity,"Buy Out, Expansion, Replacement",,,"Aerospace, Agriculture, Chemicals and materials, Consumer, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other manufacturing, Retail, Sustainability, Transportation",Italy,,
Star Capital SGR,Private Equity,Buy Out,10000000,28000000,"Fashion, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Retail",Italy,297700000,http://www.starcapital.it
Star Tech Ventures,Venture Capital,Early Stage,100000,10000000,ICT,"Europe, USA",,https://startechventures.eu/
Style Capital SGR,Private Equity,"Buy Out, Expansion, Replacement",20000000,70000000,"Fashion, Food and Beverages, Furniture, Retail","Italy, Worldwide",600000000,http://www.stylecapital.it
Suma Capital,,"Impact Investing, Infrastructure",20000000,80000000,"Energy and environment, Transportation","Europe, France, Italy, Spain",1300000000,https://sumacapital.com/
Sviluppo Imprese Centro Italia SGR,"Private Debt, Private Equity, Venture Capital",All Stages,200000,2500000,,Central Italy,77200000,http://www.fondisici.it
Swiss Life Asset Managers Luxembourg Succursale Italia,Infrastrutture,Infrastructure,,,"Energy and environment, Other, Sustainability, Transportation","Europe, USA",12600000000,http://www.swisslife-am.com
Tages Capital SGR,"Infrastrutture, Private Debt","Infrastructure, Private Debt",3000000,250000000,"Agriculture, Biotech, Chemicals and materials, Consumer, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other, Other manufacturing, Retail, Sustainability, Transportation","Europe, Italy",2100000000,http://www.tagescapitalsgr.com/
TeamSystem Capital at Work SGR,Private Debt,,,,,,,
The Equity Club,,,,,,,,https://www.equityclub.eu/
Three Hills Capital Partners,"Private Debt, Private Equity","Expansion, Impact Investing, Private Debt",10000000,100000000,"Biotech, Chemicals and materials, Energy and environment, Fashion, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Other manufacturing, Retail, Sustainability","Europe, France, Italy, Spain, United Kingdom",3200000000,http://www.threehills.com
Tikehau Capital,"Private Debt, Private Equity","Buy Out, Expansion, Impact Investing, Private Debt, Real Estate",5000000,,,"Europe, USA",53000000000,http://www.tikehaucapital.com
ToSeed,Venture Capital,Early Stage,250000,1000000,"Agriculture, Biotech, Chemicals and materials, Energy and environment, Food and Beverages, Industrial products and services, Sustainability",Italy,,https://toseed.it/
Trentino Sviluppo,,All Stages,,,"Agriculture, Biotech, Chemicals and materials, Energy and environment, Financial and insurance activities, Healthcare, ICT, Industrial products and services, Other, Other manufacturing",Northern Italy,,http://www.trentinosviluppo.it
Trilantic Europe,Private Equity,Buy Out,60000000,150000000,,Europe,2500000000,http://www.trilanticeurope.com
Triton,"Private Debt, Private Equity",Buy Out,30000000,1000000000,"Agriculture, Chemicals and materials, Construction, Healthcare, Industrial products and services, Mechanics","Europe, Italy",26000000000,http://www.triton-partners.com
Unigrains Italia,Private Equity,"Buy Out, Expansion, Replacement",8000000,25000000,"Agriculture, Food and Beverages",Italy,80000000,https://www.unigrains.fr/en/
VAM Investments,Private Equity,,,,,,,www.vaminvestments.com
Ver Capital SGR,,,,,,,,https://www.vercapital.com/
Vertis SGR,"Private Equity, Venture Capital",Early Stage,300000,5000000,"Aerospace, Agriculture, Financial and insurance activities, ICT, Industrial products and services, Mechanics, Medtech",Italy,265000000,http://www.vertis.it
Weltix,"Infrastrutture, Private Equity",,,,,,,https://www.weltix.tech/
White Bridge Investments III,,Buy Out,,,Other,Italy,,
Wise Equity SGR,Private Equity,"Buy Out, Expansion",10000000,50000000,,Italy,640000000,http://www.wisesgr.com
WRM Group,Private Equity,All Stages,,,,Europe,600000000,http://www.wrmgroup.net
XGen Venture SGR,Venture Capital,Early Stage,,,Biotech,Italy,177000000,https://xgenventure.com/
Yarpa Investimenti SGR,Private Equity,Buy Out,,,,Europe,900000000,http://www.yarpa.it
